,PLAYER,POS
0,Vander Blue,SG
1,Kris Humphries,PF
2,Jerryd Bayless,PG
3,Jared Sullinger,PF
4,Jeff Green,SF
5,Kelly Olynyk,C
6,MarShon Brooks,SG
7,Chris Babb,SG
8,Chris Johnson,SF
9,Phil Pressey,PG
10,Jordan Crawford,SG
11,Courtney Lee,SG
12,Rajon Rondo,PG
13,Gerald Wallace,SF
14,Avery Bradley,PG
15,Vitor Faverani,C
16,Keith Bogans,SG
17,Brandon Bass,PF
18,Joel Anthony,C
19,Tornike Shengelia,SF
20,Reggie Evans,PF
21,Deron Williams,PG
22,Tyshawn Taylor,PG
23,Joe Johnson,SF
24,Andray Blatche,C
25,Shaun Livingston,PG
26,Jorge Gutierrez,PG
27,Kevin Garnett,PF
28,Paul Pierce,SF
29,Marquis Teague,PG
30,Andrei Kirilenko,SF
31,Mason Plumlee,C
32,Jason Terry,SG
33,Mirza Teletovic,PF
34,Jason Collins,C
35,Marcus Thornton,SG
36,Brook Lopez,C
37,Alan Anderson,SG
38,Raymond Felton,PG
39,Jeremy Tyler,PF
40,Pablo Prigioni,PG
41,Tim Hardaway Jr.,SG
42,Carmelo Anthony,SF
43,Chris Smith,PG
44,Kenyon Martin,PF
45,Amar'e Stoudemire,PF
46,Toure' Murry,SF
47,Beno Udrih,PG
48,Tyson Chandler,C
49,J.R. Smith,SG
50,Iman Shumpert,SG
51,Earl Clark,SF
52,Cole Aldrich,C
53,Metta World Peace,SF
54,Shannon Brown,PG
55,Andrea Bargnani,C
56,James Anderson,SG
57,Casper Ware,PG
58,Darius Morris,PG
59,Tony Wroten,SG
60,Elliot Williams,SG
61,Lavoy Allen,PF
62,Henry Sims,C
63,Daniel Orton,C
64,Brandon Davies,PF
65,James Nunnally,SF
66,Evan Turner,SG
67,Hollis Thompson,SG
68,Michael Carter-Williams,PG
69,Jarvis Varnado,PF
70,Arnett Moultrie,PF
71,Byron Mullens,C
72,Adonis Thomas,SG
73,Dewayne Dedmon,C
74,Thaddeus Young,SF
75,Eric Maynor,PG
76,Spencer Hawes,PF
77,Darius Johnson-Odom,SG
78,Lorenzo Brown,PG
79,Tyler Hansbrough,PF
80,Jonas Valanciunas,C
81,Quincy Acy,SF
82,Aaron Gray,C
83,Steve Novak,SF
84,Kyle Lowry,PG
85,Rudy Gay,SF
86,Patrick Patterson,PF
87,Terrence Ross,SF
88,Austin Daye,SF
89,DeMar DeRozan,SG
90,Amir Johnson,PF
91,Greivis Vasquez,PG
92,Dwight Buycks,PG
93,Chuck Hayes,C
94,John Salmons,SF
95,D.J. Augustin,PG
96,Landry Fields,SG
97,Julyan Stone,SG
98,Nando de Colo,PG
99,Andre Iguodala,SG
100,Andrew Bogut,C
101,Toney Douglas,PG
102,Stephen Curry,PG
103,Ognjen Kuzmic,C
104,Steve Blake,PG
105,Marreese Speights,PF
106,David Lee,PF
107,Harrison Barnes,SF
108,Jermaine O'Neal,C
109,Kent Bazemore,SG
110,Klay Thompson,SG
111,Hilton Armstrong,PF
112,Nemanja Nedovic,PG
113,Draymond Green,SF
114,Matt Barnes,SF
115,Danny Granger,SF
116,Reggie Bullock,SG
117,Stephen Jackson,SF
118,Chris Paul,PG
119,DeAndre Jordan,C
120,Jared Dudley,SG
121,Sasha Vujacic,SG
122,Antawn Jamison,PF
123,Darren Collison,PG
124,Glen Davis,PF
125,Willie Green,SG
126,Ryan Hollins,C
127,Blake Griffin,PF
128,Maalik Wayns,PG
129,Hedo Turkoglu,SF
130,Jamal Crawford,SG
131,J.J. Redick,SG
132,Robert Sacre,C
133,Shawne Williams,SF
134,Pau Gasol,PF
135,Steve Nash,PG
136,Manny Harris,PG
137,Ryan Kelly,PF
138,Kendall Marshall,PG
139,Jordan Hill,C
140,Chris Kaman,C
141,Kobe Bryant,SG
142,Xavier Henry,SF
143,Jodie Meeks,SG
144,Wesley Johnson,SF
145,Nick Young,SF
146,Elias Harris,SF
147,Jordan Farmar,PG
148,Dionte Christmas,SG
149,Slava Kravtsov,C
150,Goran Dragic,SG
151,Marcus Morris,PF
152,Channing Frye,PF
153,Ish Smith,PG
154,Miles Plumlee,C
155,Eric Bledsoe,PG
156,P.J. Tucker,SF
157,Alex Len,C
158,Gerald Green,SG
159,Leandro Barbosa,SG
160,Shavlik Randolph,PF
161,Markieff Morris,PF
162,Archie Goodwin,SG
163,Luc Richard Mbah a Moute,PF
164,Isaiah Thomas,PG
165,DeMarcus Cousins,C
166,Ray McCallum,PG
167,Hamady Ndiaye,C
168,Orlando Johnson,SG
169,Travis Outlaw,SF
170,Jason Thompson,PF
171,Jimmer Fredette,PG
172,Royce White,PF
173,Ben McLemore,SG
174,Jared Cunningham,SG
175,Carl Landry,PF
176,Derrick Williams,PF
177,Tony Snell,SF
178,Lou Amundson,PF
179,Nazr Mohammed,C
180,Derrick Rose,PG
181,Ronnie Brewer,SF
182,Joakim Noah,C
183,Taj Gibson,PF
184,Cartier Martin,PF
185,Mike Dunleavy,SF
186,Erik Murphy,PF
187,Kirk Hinrich,SG
188,Luol Deng,SF
189,Carlos Boozer,PF
190,Jimmy Butler,SG
191,Mike James,PG
192,Shane Edwards,SF
193,Arinze Onuaku,PF
194,Jarrett Jack,PG
195,Sergey Karasev,SG
196,Alonzo Gee,SF
197,Kyrie Irving,PG
198,Andrew Bynum,C
199,Carrick Felix,SG
200,Matthew Dellavedova,SG
201,Tristan Thompson,PF
202,Tyler Zeller,C
203,C.J. Miles,SG
204,Seth Curry,SG
205,Anthony Bennett,PF
206,Anderson Varejao,C
207,Dion Waiters,SG
208,Scotty Hopson,SG
209,Greg Monroe,PF
210,Kyle Singler,SF
211,Jonas Jerebko,PF
212,Tony Mitchell,PF
213,Andre Drummond,C
214,Chauncey Billups,PG
215,Rodney Stuckey,PG
216,Josh Harrellson,PF
217,Josh Smith,SF
218,Charlie Villanueva,PF
219,Will Bynum,PG
220,Kentavious Caldwell-Pope,SG
221,Brandon Jennings,PG
222,Peyton Siva,PG
223,Luigi Datome,SF
224,Lance Stephenson,SG
225,Solomon Hill,SF
226,Luis Scola,PF
227,David West,PF
228,Rasual Butler,SF
229,C.J. Watson,PG
230,Donald Sloan,PG
231,Chris Copeland,SF
232,Paul George,SF
233,Roy Hibbert,C
234,George Hill,PG
235,Ian Mahinmi,C
236,Larry Sanders,C
237,Brandon Knight,PG
238,Khris Middleton,PF
239,O.J. Mayo,SG
240,Jeff Adrien,SF
241,Ekpe Udoh,PF
242,D.J. Stephens,SG
243,Chris Wright,SF
244,John Henson,C
245,Giannis Antetokounmpo,SG
246,Zaza Pachulia,C
247,Caron Butler,SF
248,Miroslav Raduljica,C
249,Gary Neal,SG
250,Luke Ridnour,PG
251,Ersan Ilyasova,PF
252,Ramon Sessions,PG
253,Tony Mitchell,F
254,Nate Wolters,PG
255,Bernard James,C
256,Jose Calderon,PG
257,Wayne Ellington,SG
258,Samuel Dalembert,C
259,Vince Carter,SG
260,Shane Larkin,PG
261,Monta Ellis,SG
262,Dirk Nowitzki,PF
263,Shawn Marion,SF
264,Brandan Wright,PF
265,Devin Harris,PG
266,DeJuan Blair,C
267,Jae Crowder,SF
268,Ricky Ledo,SG
269,Gal Mekel,PG
270,Patrick Beverley,PG
271,Omri Casspi,SF
272,Aaron Brooks,PG
273,Jordan Hamilton,SG
274,Troy Daniels,SG
275,Jeremy Lin,PG
276,Isaiah Canaan,PG
277,Donatas Motiejunas,PF
278,Greg Smith,PF
279,Dwight Howard,C
280,Chandler Parsons,SF
281,Josh Powell,PF
282,Robert Covington,SF
283,James Harden,SG
284,Terrence Jones,PF
285,Omer Asik,C
286,Francisco Garcia,SG
287,Mike Conley,PG
288,Ed Davis,PF
289,Tayshaun Prince,SF
290,Nick Calathes,SG
291,Mike Miller,SF
292,Tony Allen,SG
293,Marc Gasol,C
294,Jon Leuer,PF
295,Quincy Pondexter,SG
296,Jamaal Franklin,SG
297,Zach Randolph,PF
298,James Johnson,PF
299,Kosta Koufos,C
300,Austin Rivers,SG
301,Lance Thomas,SF
302,Darius Miller,SF
303,Brian Roberts,PG
304,Jeff Withey,C
305,James Southerland,SF
306,Luke Babbitt,SF
307,Anthony Morrow,SG
308,Josh Childress,SF
309,Melvin Ely,C
310,Eric Gordon,SG
311,Alexis Ajinca,C
312,Jrue Holiday,PG
313,Ryan Anderson,PF
314,Anthony Davis,PF
315,Tyreke Evans,SF
316,Greg Stiemsma,C
317,Al-Farouq Aminu,SF
318,Jason Smith,C
319,Marco Belinelli,SG
320,Manu Ginobili,SG
321,Tiago Splitter,PF
322,Othyus Jeffers,SG
323,Boris Diaw,PF
324,Tim Duncan,PF
325,Aron Baynes,PF
326,Matt Bonner,PF
327,Tony Parker,PG
328,Jeff Ayres,PF
329,Cory Joseph,PG
330,Patty Mills,PG
331,Malcolm Thomas,PF
332,Damion James,SF
333,Danny Green,SG
334,Kawhi Leonard,SF
335,Jeff Teague,PG
336,Dexter Pittman,C
337,Mike Scott,PF
338,Mike Muscala,PF
339,DeMarre Carroll,SF
340,Gustavo Ayon,PF
341,Elton Brand,PF
342,Dennis Schroder,PG
343,Paul Millsap,PF
344,John Jenkins,SG
345,Louis Williams,SG
346,Pero Antic,PF
347,Kyle Korver,SG
348,Shelvin Mack,PG
349,Al Horford,C
350,Al Jefferson,C
351,Jannero Pargo,PG
352,Gerald Henderson,SG
353,Jeff Taylor,SF
354,Ben Gordon,SG
355,Kemba Walker,PG
356,Michael Kidd-Gilchrist,SF
357,D.J. White,PF
358,Josh McRoberts,PF
359,Anthony Tolliver,PF
360,Bismack Biyombo,C
361,Cody Zeller,C
362,Chris Douglas-Roberts,SG
363,Justin Hamilton,C
364,Roger Mason Jr.,SG
365,Greg Oden,C
366,Chris Andersen,PF
367,Michael Beasley,SF
368,LeBron James,SF
369,James Jones,SF
370,Rashard Lewis,PF
371,Ray Allen,SG
372,Udonis Haslem,PF
373,Mario Chalmers,PG
374,Shane Battier,SF
375,Chris Bosh,C
376,Norris Cole,PG
377,DeAndre Liggins,SG
378,Dwyane Wade,SG
379,Kyle O'Quinn,PF
380,Nikola Vucevic,C
381,Arron Afflalo,SG
382,E'Twaun Moore,SG
383,Tobias Harris,SF
384,Maurice Harkless,SF
385,Ronnie Price,PG
386,Andrew Nicholson,PF
387,Doron Lamb,SG
388,Victor Oladipo,SG
389,Jason Maxiell,PF
390,Jameer Nelson,PG
391,Solomon Jones,PF
392,Nene Hilario,PF
393,Drew Gooden,PF
394,Martell Webster,SF
395,Glen Rice Jr.,SG
396,Jan Vesely,PF
397,Andre Miller,PG
398,Garrett Temple,SG
399,Trevor Ariza,SF
400,John Wall,PG
401,Trevor Booker,PF
402,Chris Singleton,SF
403,Bradley Beal,SG
404,Kevin Seraphin,C
405,Marcin Gortat,C
406,Al Harrington,PF
407,Otto Porter Jr.,SF
408,Timofey Mozgov,C
409,Evan Fournier,SG
410,J.J. Hickson,C
411,JaVale McGee,C
412,Randy Foye,SG
413,Quincy Miller,SF
414,Kenneth Faried,PF
415,Wilson Chandler,SF
416,Darrell Arthur,PF
417,Nate Robinson,PG
418,Ty Lawson,PG
419,Anthony Randolph,SF
420,Ricky Rubio,PG
421,Shabazz Muhammad,SF
422,Nikola Pekovic,C
423,Dante Cunningham,PF
424,Kevin Love,PF
425,Corey Brewer,SG
426,Gorgui Dieng,C
427,Robbie Hummel,SF
428,Alexey Shved,PG
429,A.J. Price,PG
430,Ronny Turiaf,C
431,J.J. Barea,PG
432,Chase Budinger,SF
433,Kevin Martin,SG
434,Hasheem Thabeet,C
435,Reggie Jackson,PG
436,Reggie Williams,SG
437,Steven Adams,C
438,Andre Roberson,SG
439,Kendrick Perkins,C
440,Russell Westbrook,PG
441,Perry Jones,SF
442,Kevin Durant,SF
443,Jeremy Lamb,SG
444,Nick Collison,PF
445,Mustafa Shakur,PG
446,Ryan Gomes,SF
447,Royal Ivey,PG
448,Derek Fisher,PG
449,Serge Ibaka,PF
450,Thabo Sefolosha,SG
451,Robin Lopez,C
452,Nicolas Batum,SF
453,Damian Lillard,PG
454,Meyers Leonard,C
455,Thomas Robinson,PF
456,Wesley Matthews,SG
457,Mo Williams,PG
458,Will Barton,SG
459,Victor Claver,PF
460,Joel Freeland,C
461,Allen Crabbe,SG
462,Earl Watson,PG
463,Dorell Wright,SF
464,C.J. McCollum,SG
465,LaMarcus Aldridge,PF
466,Trey Burke,PG
467,Derrick Favors,PF
468,Richard Jefferson,SF
469,Gordon Hayward,SF
470,Alec Burks,PG
471,John Lucas III,PG
472,Marvin Williams,PF
473,Mike Harris,SF
474,Ian Clark,SG
475,Andris Biedrins,C
476,Rudy Gobert,C
477,Jamaal Tinsley,PG
478,Brandon Rush,SG
479,Diante Garrett,PG
480,Jeremy Evans,SF
481,Enes Kanter,C
